Obs,Año,Mes,Dia,Species,Leaf,Hora,Area Foliar,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
21,2016,8,30,Oak,1,11,6,11:21:24,1071.499993,0,1.116120601,0.121642435,376.6418244,1.051678366,0.884685524,21.59724045,6,1.420000017,1,2.840000033,22.5897789,21.59724045,22.67422867,400.0395203,397.4110107,15.22598267,16.99732399,55.50775146,61.9601059,350.1762085,29.58908844,28.61348343,100.2710342,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583627014,0.001051678,294.7472404,295.7397789,4.734254045,-0.364633104,2.58902478,25.82026604,8.822942045,22.09350967,2.668677315,0.116646261,1.704339256,0.964338059,0.073336908,37.76626527,0.947738775,66.51601631,396.8804605,0.001870586
22,2016,8,30,Oak,1,11,6,11:21:26,1073.499993,0,1.139109805,0.122067748,376.3640192,1.055014608,0.884521188,21.60064507,6,1.420000017,1,2.840000033,22.5911541,21.60064507,22.67568207,400.0614014,397.3912354,15.22737312,17.00434113,55.50812531,61.97825623,350.1722412,29.59085083,28.59676743,100.2710342,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583620402,0.001055015,294.7506451,295.7411541,4.734536027,-0.366643833,2.589564059,25.82564425,8.821303125,22.09589958,2.669066033,0.117037297,1.705042871,0.964023161,0.073584223,37.73840946,0.947086865,66.53380196,396.8497571,0.001909773
23,2016,8,30,Oak,1,11,6,11:21:28,1075.499993,0,1.163122009,0.122452428,376.0734997,1.058132935,0.88445794,21.60445213,6,1.420000017,1,2.840000033,22.59264946,21.60445213,22.67726517,400.0899048,397.3764954,15.22877407,17.01098442,55.50835037,61.99494934,350.171814,29.58686066,28.55288315,100.2710495,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.58361969,0.001058133,294.7544521,295.7426495,4.733897599,-0.368587853,2.590167201,25.83165544,8.82067102,22.0985508,2.66949731,0.11739088,1.705709261,0.963788049,0.073807857,37.7092845,0.946390901,66.54811531,396.8236029,0.001950579
24,2016,8,30,Oak,1,11,6,11:21:31,1078.499993,0,1.191691963,0.122991101,375.7487072,1.062497575,0.884369497,21.60986137,6,1.420000017,1,2.840000033,22.59529686,21.60986137,22.67964172,400.132843,397.3675537,15.23088264,17.02040863,55.50755692,62.01765823,350.1754456,29.41864967,28.42605019,100.2710876,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583625743,0.001062498,294.7598614,295.7452969,4.706983843,-0.371555516,2.591024383,25.84019425,8.819785623,22.10257912,2.67015272,0.117885851,1.706654886,0.963497834,0.074120931,37.67673155,0.945594837,66.5682982,396.8010804,0.001999211
25,2016,8,30,Oak,1,11,6,11:21:33,1080.499993,0,1.201818192,0.123343726,375.6553284,1.065348539,0.884308746,21.61330414,6,1.420000017,1,2.840000033,22.59719276,21.61330414,22.68127632,400.1495056,397.3649597,15.23213482,17.02643204,55.50613403,62.03087616,350.1792603,29.14804649,28.3204422,100.2712326,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5836321,0.001065349,294.7633041,295.7471928,4.663687335,-0.373766083,2.591570074,25.84559904,8.819167007,22.10524845,2.670587099,0.118209771,1.707261327,0.963325772,0.074325823,37.66742281,0.945366015,66.58141576,396.7936729,0.002016634
26,2016,8,30,Oak,2,11,6,11:23:30,1197.49999,0,1.51656164,0.135564798,372.5029359,1.154465965,0.875317916,21.70782089,6,1.420000017,1,2.840000033,22.66539383,21.70782089,22.7343235,399.9706421,396.5874939,15.32182217,17.26584435,55.60164642,62.65130997,350.160553,33.56199646,32.53119659,100.2715378,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583600922,0.001154466,294.8578209,295.8153938,5.369919314,-0.415450947,2.606590679,25.99531968,8.729475333,22.18660736,2.683856306,0.129388554,1.731272764,0.952583542,0.081400954,37.35144221,0.939270506,67.24036619,395.8665931,0.002575973
27,2016,8,30,Oak,2,11,6,11:23:32,1199.49999,0,1.5001431,0.136026376,372.7686402,1.157767679,0.874973563,21.71006012,6,1.420000017,1,2.840000033,22.66686821,21.71006012,22.73572159,399.9483948,396.591095,15.32324886,17.27283669,55.60189056,62.66901398,350.1570129,33.28800583,32.40063858,100.2715378,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583595022,0.001157768,294.8600601,295.8168682,5.326080814,-0.4178027,2.60694746,25.99887782,8.726041134,22.18846416,2.684159813,0.129808967,1.731973896,0.952185917,0.081667193,37.37808479,0.939931947,67.26263732,395.8779988,0.002548855
28,2016,8,30,Oak,2,11,6,11:23:35,1202.49999,0,1.496584923,0.136587329,372.8846257,1.162029778,0.874745021,21.71447563,6,1.420000017,1,2.840000033,22.66917992,21.71447563,22.73800087,399.9446716,396.5905151,15.32536221,17.28214264,55.60169983,62.69281769,350.1509094,32.89463043,32.18497086,100.2714844,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583584849,0.00116203,294.8644756,295.8191799,5.263140752,-0.421059459,2.607651117,26.00590919,8.723766547,22.19182777,2.684709694,0.130319716,1.732906096,0.951803599,0.081990656,37.38969491,0.940225778,67.28591304,395.8791103,0.002543683
29,2016,8,30,Oak,2,11,6,11:23:38,1205.49999,0,1.507516671,0.137052197,372.8325022,1.165542759,0.874541104,21.71844673,6,1.420000017,1,2.840000033,22.67149734,21.71844673,22.74039459,399.9855042,396.61026,15.32789707,17.29053497,55.60260391,62.71278381,350.1582947,32.46051788,32.00309372,100.2712173,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583597158,0.001165543,294.8684467,295.8214973,5.193682745,-0.423941708,2.608284094,26.0122911,8.721756123,22.19497204,2.685223806,0.130742834,1.73374299,0.951480816,0.082258634,37.38436886,0.940047547,67.30633545,395.8936588,0.002562946
30,2016,8,30,Oak,2,11,6,11:23:40,1207.49999,0,1.505881619,0.137350138,372.9158807,1.167692588,0.874336488,21.72053719,6,1.420000017,1,2.840000033,22.67333221,21.72053719,22.74252319,400.0089722,396.6350708,15.32969666,17.2959137,55.60307312,62.72384262,350.1636658,32.18190765,31.90046692,100.2711334,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.58360611,0.001167693,294.8705372,295.8233322,5.14910511,-0.42563041,2.608617358,26.0156365,8.719722801,22.1969347,2.68554476,0.131013947,1.73428087,0.95126389,0.082430348,37.39269803,0.940198959,67.3212853,395.9192468,0.00256057
31,2016,8,30,Oak,3,11,6,11:26:10,1357.499999,0,12.01385875,0.175659063,258.1925627,1.592496293,0.943172411,22.7023201,6,1.420000017,1,2.840000033,22.82821083,22.7023201,22.88454628,399.8924255,378.2774353,15.53292656,18.21160507,55.81227493,65.43605804,350.2087402,687.5897217,547.4655151,100.2736435,0.272889316,0.080212288,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583681234,0.001592496,295.8523201,295.9782108,110.014353,0.489512545,2.769316406,27.61759032,9.405985245,22.76526546,2.77990854,0.165427102,1.826143994,0.953764546,0.10426498,25.88990898,0.682548147,67.1736886,372.5666222,0.021660964
32,2016,8,30,Oak,3,11,6,11:26:15,1362.499999,0,12.28369529,0.17689508,256.0179365,1.59153789,0.936417365,22.67041206,6,1.420000017,1,2.840000033,22.83712196,22.67041206,22.89116096,399.9302979,377.8541565,15.54852581,18.22562981,55.83716583,65.45630646,350.198822,607.8877563,510.0619202,100.2732544,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583664703,0.001591538,295.8204121,295.987122,97.26203884,0.343895355,2.763960579,27.56428517,9.338655367,22.75376701,2.777970996,0.16652287,1.827543214,0.950427782,0.104961489,25.67175168,0.67755755,67.35967359,372.0150761,0.022241725
33,2016,8,30,Oak,3,11,6,11:26:20,1366.999999,0,12.31133918,0.177699504,256.2910992,1.586811392,0.929684449,22.6332283,6,1.420000017,1,2.840000033,22.84431839,22.6332283,22.89768028,399.9749756,377.8537903,15.56142616,18.23065567,55.85763931,65.44716644,350.1870728,596.7487183,464.5778198,100.273201,0.272889316,0.080212288,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583645121,0.001586811,295.7832283,295.9943184,95.47979279,0.331092431,2.757730649,27.50217029,9.271514617,22.73877335,2.775446266,0.167235535,1.8280462,0.947400065,0.105414525,25.6991289,0.678281139,67.53075966,372.0015693,0.022349209
34,2016,8,30,Oak,3,11,6,11:26:23,1369.999999,0,12.25450151,0.177817138,256.9838899,1.583986837,0.927458935,22.62185097,6,1.420000017,1,2.840000033,22.84931183,22.62185097,22.90250587,399.9515991,377.9286804,15.5693121,18.23387146,55.86869812,65.43917847,350.1752625,562.3115234,439.3299255,100.2731628,0.272889316,0.080212288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583625437,0.001583987,295.771851,295.9993118,89.96984174,0.26926176,2.755826897,27.48319509,9.249323631,22.7355814,2.774909044,0.167339719,1.828367962,0.946541082,0.105480757,25.76858744,0.679979857,67.58763426,372.1034773,0.022258668
35,2016,8,30,Oak,3,11,6,11:26:35,1382.499999,0,11.28347398,0.18011349,269.3615132,1.551154437,0.897497111,22.42492867,6,1.420000017,1,2.840000033,22.86717796,22.42492867,22.92313766,400.096344,379.7539978,15.59658909,18.20594406,55.90910339,65.27783966,350.1817627,340.1649475,390.4264221,100.272789,0.272889316,0.080212288,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583636271,0.001551154,295.5749287,296.017178,54.42639039,-0.107558174,2.723057898,27.15649904,8.95055498,22.64605331,2.759878018,0.169371884,1.825560787,0.934317231,0.106772786,27.00963018,0.709305273,68.28716869,374.3903747,0.020580564
36,2016,8,30,Oak,4,11,6,11:28:49,1517,0,1.163926567,0.148876325,378.1505982,1.24466806,0.862665227,22.02834511,6,1.420000017,1,2.840000033,22.99498177,22.02834511,23.06578064,399.4758606,396.6356201,15.81118679,17.90568733,56.24407959,63.69021606,350.1688538,26.14599991,26.09130669,100.2716141,-0.208597198,0.066219024,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583614756,0.001244668,295.1783451,296.1449818,4.183359892,-0.475084073,2.658097397,26.50897187,8.603284539,22.51166344,2.737448801,0.141460776,1.79543217,0.942016631,0.089050606,37.91777085,0.953395457,68.46193672,396.0823452,0.002011821
37,2016,8,30,Oak,4,11,6,11:28:51,1519,0,1.174735405,0.149291288,378.0603342,1.247674006,0.862458684,22.03109932,6,1.420000017,1,2.840000033,22.99764061,22.03109932,23.0685997,399.490387,396.6296082,15.81268787,17.91222382,56.24073792,63.70166397,350.1703491,26.15238571,26.13406754,100.2714767,-0.208597198,0.066219024,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583617249,0.001247674,295.1810993,296.1476406,4.18438162,-0.476656071,2.658543818,26.5134603,8.601236485,22.51436996,2.737898933,0.141835377,1.796085134,0.941813799,0.089288125,37.90866801,0.95318233,68.47898079,396.0711952,0.002031066
38,2016,8,30,Oak,4,11,6,11:28:54,1522,0,1.165750551,0.149795943,378.2072728,1.251743378,0.862493505,22.03700447,6,1.420000017,1,2.840000033,23.00198746,22.03700447,23.07290459,399.4831848,396.6350403,15.81508064,17.9214325,56.23509216,63.7168541,350.1723633,26.16309738,26.16776657,100.271431,-0.208597198,0.066219024,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583620605,0.001251743,295.1870045,296.1519875,4.186095487,-0.478966303,2.659501186,26.52302017,8.601587673,22.51949596,2.738751632,0.142290807,1.797007681,0.941743951,0.089576907,37.92338444,0.953539739,68.49407202,396.0808983,0.002015927
39,2016,8,30,Oak,4,11,6,11:28:56,1523.499999,0,1.157761714,0.150054559,378.3177824,1.253825706,0.862509617,22.03984642,6,1.420000017,1,2.840000033,23.00421524,22.03984642,23.07508659,399.4717407,396.6358948,15.81604862,17.92587471,56.23168182,63.72278214,350.1757202,26.16571808,26.17708015,100.2713928,-0.208597198,0.066219024,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5836262,0.001253826,295.1898464,296.1542152,4.186514799,-0.480129858,2.659962042,26.52762635,8.601751637,22.52203083,2.739173388,0.142524138,1.797452425,0.941720963,0.089724864,37.93445098,0.953816302,68.501521,396.0855503,0.002002306
40,2016,8,30,Oak,4,11,6,11:28:58,1525.499999,0,1.14661872,0.150363575,378.4591559,1.256433115,0.862609489,22.04373741,6,1.420000017,1,2.840000033,23.00714874,22.04373741,23.07784271,399.447998,396.6294861,15.81700134,17.93120384,56.22619247,63.72971344,350.1756592,26.17408752,26.21955681,100.2712173,-0.208597198,0.066219024,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583626099,0.001256433,295.1937374,296.1571487,4.18785391,-0.481601571,2.660593126,26.53396654,8.602762703,22.52544308,2.739741214,0.142802888,1.797983638,0.941757576,0.089901626,37.94856028,0.954188151,68.5084126,396.0844385,0.001983239
61,2016,8,30,Oak,5,11,6,11:48:11,2678.499996,0,2.19546758,0.143866669,364.9522637,1.321675489,0.944761791,23.13940811,6,1.420000017,1,2.840000033,24.18254089,23.13940811,24.24155426,400.9246521,396.2652283,16.71887589,18.94070625,55.35508347,62.7065506,350.1550903,58.36982346,58.12911224,100.2518158,-0.161810711,0.086582266,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583591817,0.001321675,296.2894081,297.3325409,9.339171544,-0.441740074,2.843601985,28.36459332,9.423887069,23.6609745,2.934521409,0.13693016,1.898840194,1.035681215,0.086178644,36.58712711,0.920979782,67.61170494,395.2216081,0.00375585
62,2016,8,30,Oak,5,11,6,11:48:35,2702.499995,0,2.484052539,0.146607768,360.6206706,1.346367555,0.945232399,23.17105293,6,1.420000017,1,2.840000033,24.20639992,23.17105293,24.25556374,399.8907166,394.7232361,16.72700882,18.99038696,55.30226135,62.78407669,350.1313782,59.34360886,60.5891304,100.251503,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583552297,0.001346368,296.3210529,297.3563999,9.494977205,-0.453806392,2.849047235,28.41899772,9.428610756,23.68872643,2.93942955,0.139411029,1.903814835,1.035614715,0.087751105,36.15276423,0.913603856,67.68546597,393.5424365,0.004272328
63,2016,8,30,Oak,5,11,6,11:48:37,2704.499995,0,2.49200648,0.14662716,360.5186507,1.347145664,0.945656281,23.17480469,6,1.420000017,1,2.840000033,24.20816803,23.17480469,24.25706482,399.8915405,394.7099915,16.72793388,18.99258995,55.29991531,62.78509903,350.1352539,59.52070618,60.79336166,100.2515793,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583558757,0.001347146,296.3248047,297.358168,9.523312775,-0.454136776,2.849693419,28.42542171,9.432831762,23.69148636,2.939918058,0.139428563,1.904037137,1.035880921,0.08776222,36.14256409,0.913376044,67.67837262,393.5254109,0.004285745
64,2016,8,30,Oak,5,11,6,11:48:39,2706.499995,0,2.497691754,0.146643632,360.4454079,1.347770014,0.945990466,23.17777252,6,1.420000017,1,2.840000033,24.21002388,23.17777252,24.2586441,399.89151,394.6998901,16.72867966,18.99435043,55.29690552,62.78457642,350.1400146,59.77733994,60.99608612,100.2516098,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583566691,0.00134777,296.3277725,297.3600239,9.564374176,-0.454119785,2.850204675,28.43051279,9.436162355,23.6938982,2.940345012,0.139443458,1.904214208,1.036130804,0.087771662,36.13523238,0.913213854,67.6728151,393.5126071,0.004295309
65,2016,8,30,Oak,5,11,6,11:48:42,2709.499995,0,2.510027465,0.146658709,360.299823,1.348574232,0.946458339,23.18179512,6,1.420000017,1,2.840000033,24.21293831,23.18179512,24.26156807,399.9069824,394.6937561,16.729599,18.99658966,55.29101563,62.78173065,350.144165,60.20840073,61.37624741,100.2516479,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583573608,0.001348574,296.3317951,297.3629383,9.633343901,-0.453862928,2.850897758,28.43741541,9.440825748,23.69736671,2.940959117,0.139457091,1.904439419,1.036519698,0.087780304,36.12065102,0.912859191,67.66470137,393.5006093,0.004316137
66,2016,8,30,Oak,6,11,6,11:49:41,2768.499994,0,2.156910214,0.079414189,344.7154469,0.837334845,1.061079069,23.35835648,6,1.420000017,1,2.840000033,24.26135445,23.35835648,24.31245804,399.8700867,395.6065674,16.75010109,18.15883636,55.19520187,59.81552124,350.1565552,50.36548233,50.01945114,100.2479095,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583594259,0.000837335,296.5083565,297.4113544,8.058476993,-0.221771777,2.881464454,28.74338694,10.58455058,23.80985546,2.9609363,0.077253957,1.820385385,1.140550915,0.048473268,34.55700294,0.871359263,63.31714603,394.5812756,0.003461122
67,2016,8,30,Oak,6,11,6,11:49:43,2770.499994,0,2.108857299,0.080900086,346.4739647,0.851735916,1.060022531,23.36671448,6,1.420000017,1,2.840000033,24.26441765,23.36671448,24.315382,399.7926941,395.6018066,16.7509594,18.18387032,55.18914795,59.88198853,350.1605225,50.37908554,49.86916733,100.247963,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583600871,0.000851736,296.5167145,297.4144176,8.060653506,-0.229986544,2.882918489,28.75787601,10.5740057,23.81556606,2.961953619,0.078659399,1.822895958,1.139057661,0.049358643,34.73330918,0.87581492,63.39004709,394.5993569,0.003387754
68,2016,8,30,Oak,6,11,6,11:49:59,2786.499993,0,2.32641517,0.088013042,345.4654965,0.921315324,1.056418817,23.41335487,6,1.420000017,1,2.840000033,24.289814,23.41335487,24.34108543,399.8583374,395.2475281,16.75077057,18.30073166,55.10477448,60.19649124,350.1202393,50.41312027,49.15994263,100.2487488,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583533732,0.000921315,296.5633549,297.439814,8.066099063,-0.269141611,2.891044268,28.83870674,10.53797509,23.85158443,2.968377179,0.085367461,1.834625451,1.133751728,0.053586208,34.63248377,0.874048468,63.70176727,394.1416617,0.003759987
69,2016,8,30,Oak,6,11,6,11:50:02,2789.499993,0,2.402794146,0.088663558,344.4112758,0.927808918,1.056282943,23.41916656,6,1.420000017,1,2.840000033,24.29490471,23.41916656,24.34640503,400.0346069,395.2885132,16.75134277,18.31218719,55.09067917,60.21566772,350.1253662,50.39157104,49.12158203,100.2488251,-0.161810711,0.086582266,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583542277,0.000927809,296.5691666,297.4449047,8.062651187,-0.272670507,2.892058194,28.84879889,10.5366117,23.85703564,2.969350413,0.085979322,1.835775251,1.133575163,0.053971959,34.52682574,0.871290878,63.7268185,394.1463399,0.003884913
70,2016,8,30,Oak,6,11,6,11:50:15,2802.499993,0,2.346735724,0.090267036,346.4714056,0.945361938,1.057680551,23.44604492,6,1.420000017,1,2.840000033,24.31629372,23.44604492,24.36811447,400.2485352,395.5862122,16.75482178,18.34511566,55.03141403,60.24989319,350.1311951,50.40320587,49.44231796,100.2485352,-0.161810711,0.086582266,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583551992,0.000945362,296.5960449,297.4662937,8.064512759,-0.282535887,2.896751524,28.89569927,10.5505836,23.88116932,2.973662492,0.087486355,1.839070972,1.134591519,0.05492218,34.73325088,0.875842977,63.75603339,394.4706864,0.003792894
71,2016,8,30,Oak,7,11,6,11:52:31,2937.999999,0,12.79650149,0.269949588,288.5320348,2.62567921,1.039517266,24.94901276,6,1.420000017,1,2.840000033,24.73165321,24.94901276,24.75601006,399.7620239,376.143219,16.84903908,21.2524662,53.98549652,68.06557465,350.1650391,1156.484253,1187.327637,100.2475433,0.42367819,0.097787462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583608398,0.002625679,298.0990128,297.8816532,185.0374763,0.791044317,3.170024793,31.62196985,10.36950365,24.84033298,3.149535194,0.246517446,2.130507527,1.019027668,0.156020189,28.92462767,0.767080251,69.24115124,370.060375,0.023943242
72,2016,8,30,Oak,7,11,6,11:52:33,2939.999999,0,12.97072163,0.272205971,287.7462513,2.646758256,1.039889251,24.97010422,6,1.420000017,1,2.840000033,24.74125862,24.97010422,24.76564789,399.7584534,375.8292542,16.85000992,21.2885704,53.96144867,68.13368225,350.169281,1166.547974,1193.329224,100.2474747,0.42367819,0.097787462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583615468,0.002646758,298.1201042,297.8912586,186.6476716,0.797528713,3.174014673,31.66179182,10.37322142,24.85568142,3.152421826,0.248397749,2.134125422,1.018296403,0.15722538,28.84583503,0.765630264,69.28990641,369.6635943,0.024312378
73,2016,8,30,Oak,7,11,6,11:52:36,2942.999999,0,13.21630088,0.275251096,286.621735,2.677260716,1.041192159,25.00455284,6,1.420000017,1,2.840000033,24.75591469,25.00455284,24.78030968,399.767334,375.4007874,16.85139465,21.340662,53.92258453,68.23259735,350.1853638,1176.592285,1199.111816,100.2475281,0.42367819,0.097787462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583642273,0.002677261,298.1545528,297.9059147,188.2547614,0.797911991,3.180540772,31.7268748,10.3862128,24.88023376,3.157044275,0.250931013,2.139348613,1.017695662,0.158849458,28.73312043,0.763508614,69.34267107,369.1183909,0.024828175
75,2016,8,30,Oak,7,11,6,11:52:44,2950.999998,0,13.85939194,0.282731851,283.692489,2.751009453,1.043911763,25.08629608,6,1.420000017,1,2.840000033,24.79512978,25.08629608,24.8204422,399.8800964,374.3685303,16.85610962,21.46854401,53.81916428,68.46707916,350.1772461,1200.52832,1211.087402,100.2472153,0.42367819,0.097787462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583628743,0.002751009,298.2362961,297.9451298,192.084527,0.798892817,3.196073516,31.88191819,10.41337418,24.94071293,3.168455913,0.257133336,2.152161753,1.01629416,0.162827554,28.43938201,0.75778936,69.48081701,367.7804391,0.026183064
76,2016,8,30,Oak,8,11,6,11:53:56,3022.999997,0,19.13901824,0.339008952,260.4400477,3.289830918,1.058770649,25.65654373,6,1.420000017,1,2.840000033,25.19160652,25.65654373,25.20484543,400.2136841,365.3567505,16.9088974,22.4200592,52.711689,69.87265015,350.133728,1267.059082,1277.424194,100.2458038,0.42367819,0.097787462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583556213,0.003289831,298.8065437,298.3416065,202.7294486,0.619228126,3.306287506,32.98180452,10.56174531,25.42407513,3.260962934,0.302857098,2.247516857,1.013446077,0.19223251,26.10802194,0.712837651,70.57692915,356.2589778,0.037915483
77,2016,8,30,Oak,8,11,6,11:53:58,3024.999997,0,19.29588388,0.339846653,259.5911871,3.304478394,1.061100267,25.68167877,6,1.420000017,1,2.840000033,25.20310974,25.68167877,25.21609306,400.2356873,365.1017761,16.91044235,22.446064,52.68410873,69.90213013,350.1293335,1269.693115,1279.277588,100.2456665,0.42367819,0.097787462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583548889,0.003304478,298.8316788,298.3531097,203.1508939,0.61468699,3.311220913,33.03106287,10.58499888,25.44239426,3.264514818,0.303525484,2.250120646,1.014394172,0.192663374,26.02289157,0.711010474,70.56274086,355.9294371,0.038253943
78,2016,8,30,Oak,8,11,6,11:54:01,3027.999997,0,19.40097825,0.341249049,259.1312803,3.325554116,1.063892404,25.71479988,6,1.420000017,1,2.840000033,25.21994972,25.71479988,25.23257637,400.1457214,364.8196716,16.91237259,22.48316193,52.6411972,69.94433594,350.1247253,1272.876221,1281.633179,100.2456512,0.42367819,0.097787462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583541209,0.003325554,298.8647999,298.3699497,203.6601908,0.607459109,3.317731613,33.09601536,10.61285343,25.4673748,3.269363726,0.304643643,2.253839209,1.015524517,0.193384243,25.97678395,0.710299637,70.55464055,355.5973757,0.038493789
79,2016,8,30,Oak,8,11,6,11:54:03,3029.999997,0,19.42280816,0.342252473,259.1268802,3.338881622,1.065327174,25.73417091,6,1.420000017,1,2.840000033,25.23102379,25.73417091,25.24375343,400.0381165,364.6669922,16.91386032,22.50687218,52.61492538,69.96871948,350.1226807,1274.923096,1283.527344,100.2457123,0.42367819,0.097787462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583537801,0.003338882,298.8841709,298.3810238,203.9876908,0.603225761,3.321544607,33.13403168,10.62715951,25.48259735,3.27232162,0.305443089,2.256217433,1.016104188,0.193899691,25.97635868,0.71058496,70.55712987,355.4343194,0.038556142
80,2016,8,30,Oak,8,11,6,11:54:06,3032.999996,0,19.4155928,0.343721857,259.3216481,3.358213887,1.067358322,25.76208878,6,1.420000017,1,2.840000033,25.24747467,25.76208878,25.26045227,399.8162842,364.4464722,16.91626358,22.54149818,52.57518768,70.00474548,350.1203003,1277.48291,1287.641357,100.2457047,0.42367819,0.097787462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.583533834,0.003358214,298.9120888,298.3974747,204.3972611,0.596387098,3.327046692,33.18892019,10.64742201,25.50478172,3.276636452,0.306612864,2.259688369,1.016948083,0.194653987,25.99588134,0.711549344,70.56201495,355.2172292,0.038568043
